name,table_size,index_size,total_size,estimated_row_count,seq_scans
public.audit_logs,176 kB,128 kB,304 kB,26,1286
public.enterprise_audit_logs,56 kB,64 kB,120 kB,0,2327
public.subscriptions,16 kB,96 kB,112 kB,0,7259
public.ordens_servico,16 kB,80 kB,96 kB,0,3198
public.planos_preventivos,16 kB,80 kB,96 kB,0,1683
public.support_tickets,16 kB,80 kB,96 kB,0,1782
public.empresas,48 kB,48 kB,96 kB,1,26466
public.empresa_config,16 kB,80 kB,96 kB,0,59232
public.user_roles,56 kB,32 kB,88 kB,8,79568
public.maintenance_schedule,16 kB,64 kB,80 kB,0,1393
public.configuracoes_sistema,48 kB,32 kB,80 kB,0,8198
public.profiles,48 kB,32 kB,80 kB,4,9055
public.operational_logs,16 kB,64 kB,80 kB,2,6
public.plans,16 kB,48 kB,64 kB,1,2599
public.login_attempts,16 kB,48 kB,64 kB,1,4
public.equipamentos,16 kB,48 kB,64 kB,0,1517
public.owner_impersonation_sessions,16 kB,48 kB,64 kB,2,5
public.billing_customers,16 kB,48 kB,64 kB,1,3
public.solicitacoes_manutencao,16 kB,48 kB,64 kB,0,1371
public.contracts,16 kB,32 kB,48 kB,0,2068
public.dados_empresa,16 kB,32 kB,48 kB,0,8043
public.document_sequences,16 kB,32 kB,48 kB,0,1199
public.mecanicos,16 kB,32 kB,48 kB,0,1877
public.contract_versions,8192 bytes,32 kB,40 kB,0,1329
public.ai_root_cause_analysis,8192 bytes,32 kB,40 kB,0,1386
public.system_error_events,8192 bytes,32 kB,40 kB,0,4
public.ip_rate_limits,8192 bytes,24 kB,32 kB,0,3
public.billing_invoices,8192 bytes,24 kB,32 kB,0,3
public.materiais,8192 bytes,24 kB,32 kB,0,2482
public.tenant_users,8192 bytes,24 kB,32 kB,0,3
public.planos_lubrificacao,8192 bytes,24 kB,32 kB,0,1414
public.execucoes_os,16 kB,16 kB,32 kB,0,3068
public.company_subscriptions,8192 bytes,24 kB,32 kB,0,346
public.execucoes_os_pausas,8192 bytes,24 kB,32 kB,0,353
public.subscription_payments,8192 bytes,24 kB,32 kB,0,190
public.auth_session_transfer_tokens,8192 bytes,24 kB,32 kB,0,3
public.orcamentos_manutencao,8192 bytes,16 kB,24 kB,0,348
public.maintenance_action_suggestions,8192 bytes,16 kB,24 kB,0,348
public.plantas,8192 bytes,16 kB,24 kB,0,1246
public.legacy_rate_limits_20260313,8192 bytes,16 kB,24 kB,0,95
public.legacy_subscription_payments_20260313,8192 bytes,16 kB,24 kB,0,185
public.legacy_rbac_roles_20260313,8192 bytes,16 kB,24 kB,0,146
public.legacy_rbac_permissions_20260313,8192 bytes,16 kB,24 kB,0,142
public.tenants,8192 bytes,16 kB,24 kB,0,2
public.areas,8192 bytes,16 kB,24 kB,0,1265
public.sistemas,8192 bytes,16 kB,24 kB,0,1338
public.system_notifications,8192 bytes,16 kB,24 kB,0,348
public.medicoes_preditivas,8192 bytes,16 kB,24 kB,0,1389
public.permissoes_granulares,8192 bytes,16 kB,24 kB,0,1280
public.solicitacoes,8192 bytes,16 kB,24 kB,0,1193
public.legacy_edge_refactor_contract_20260313,8192 bytes,16 kB,24 kB,0,156
public.fornecedores,8192 bytes,16 kB,24 kB,0,1746
public.documentos_tecnicos,8192 bytes,8192 bytes,16 kB,0,1800
public.atividades_lubrificacao,8192 bytes,8192 bytes,16 kB,0,1669
public.anomalias_inspecao,8192 bytes,8192 bytes,16 kB,0,1665
public.db_cleanup_runs,8192 bytes,8192 bytes,16 kB,0,57
public.db_cleanup_run_items,8192 bytes,8192 bytes,16 kB,0,69
public.rbac_user_roles,0 bytes,16 kB,16 kB,0,1200
public.legacy_avaliacoes_fornecedores_20260313,8192 bytes,8192 bytes,16 kB,0,370
public.melhorias,8192 bytes,8192 bytes,16 kB,0,1806
public.company_usage_metrics,0 bytes,16 kB,16 kB,0,2
public.componentes_equipamento,8192 bytes,8192 bytes,16 kB,0,1787
public.acoes_corretivas,8192 bytes,8192 bytes,16 kB,0,1676
public.execucoes_preventivas,8192 bytes,8192 bytes,16 kB,0,1690
public.fmea,8192 bytes,8192 bytes,16 kB,0,1804
public.incidentes_ssma,8192 bytes,8192 bytes,16 kB,0,1752
public.movimentacoes_materiais,8192 bytes,8192 bytes,16 kB,0,1691
public.saas_metrics_daily,0 bytes,16 kB,16 kB,0,2
public.templates_preventivos,8192 bytes,8192 bytes,16 kB,0,1630
public.inspecoes,8192 bytes,8192 bytes,16 kB,0,1756
public.atividades_preventivas,8192 bytes,8192 bytes,16 kB,0,1678
public.servicos_preventivos,8192 bytes,8192 bytes,16 kB,0,1678
public.execucoes_lubrificacao,8192 bytes,8192 bytes,16 kB,0,1681
public.security_logs,8192 bytes,8192 bytes,16 kB,0,1819
public.analise_causa_raiz,8192 bytes,8192 bytes,16 kB,0,1768
public.contratos,8192 bytes,8192 bytes,16 kB,0,1743
public.document_layouts,8192 bytes,8192 bytes,16 kB,0,1613
public.feature_flags,8192 bytes,8192 bytes,16 kB,0,1
public.permissoes_trabalho,8192 bytes,8192 bytes,16 kB,0,1678
public.materiais_os,0 bytes,8192 bytes,8192 bytes,0,1676
public.legacy_rbac_role_permissions_20260313,0 bytes,8192 bytes,8192 bytes,0,143
